排名,电影名称,豆瓣评分,评价人数
1,肖申克的救赎,9.7,3293326人评价
2,霸王别姬,9.6,2430340人评价
3,泰坦尼克号,9.5,2505444人评价
4,阿甘正传,9.5,2436181人评价
5,千与千寻,9.4,2543979人评价
6,美丽人生,9.5,1485833人评价
7,星际穿越,9.4,2191668人评价
8,这个杀手不太冷,9.4,2557675人评价
9,盗梦空间,9.4,2331331人评价
10,楚门的世界,9.4,2025813人评价
11,辛德勒的名单,9.5,1249984人评价
12,忠犬八公的故事,9.4,1546779人评价
13,海上钢琴师,9.3,1883913人评价
14,疯狂动物城,9.3,2327795人评价
15,三傻大闹宝莱坞,9.2,2083552人评价
16,机器人总动员,9.3,1497790人评价
17,放牛班的春天,9.3,1477527人评价
18,无间道,9.3,1570034人评价
19,控方证人,9.6,747112人评价
20,寻梦环游记,9.1,1997053人评价
21,大话西游之大圣娶亲,9.2,1713691人评价
22,熔炉,9.3,1038420人评价
23,触不可及,9.3,1299926人评价
24,教父,9.3,1110878人评价
25,末代皇帝,9.3,1032288人评价
26,哈利·波特与魔法石,9.2,1428056人评价
27,当幸福来敲门,9.1,1692512人评价
28,龙猫,9.2,1414992人评价
29,活着,9.3,973750人评价
30,怦然心动,9.1,2056640人评价
31,蝙蝠侠：黑暗骑士,9.2,1196402人评价
32,指环王3：王者无敌,9.3,913456人评价
33,我不是药神,9.0,2357293人评价
34,乱世佳人,9.3,798491人评价
35,让子弹飞,9.0,1925848人评价
36,飞屋环游记,9.1,1505562人评价
37,哈尔的移动城堡,9.1,1296624人评价
38,十二怒汉,9.4,581324人评价
39,海蒂和爷爷,9.3,786910人评价
40,素媛,9.3,778777人评价
41,猫鼠游戏,9.1,1215916人评价
42,天空之城,9.2,1012356人评价
43,鬼子来了,9.3,717846人评价
44,摔跤吧！爸爸,9.0,1751026人评价
45,少年派的奇幻漂流,9.1,1493476人评价
46,钢琴家,9.3,752915人评价
47,死亡诗社,9.2,887943人评价
48,指环王2：双塔奇兵,9.2,860401人评价
49,大话西游之月光宝盒,9.0,1369874人评价
50,绿皮书,8.9,1899810人评价
51,何以为家,9.1,1165571人评价
52,闻香识女人,9.1,1027053人评价
53,大闹天宫,9.4,512032人评价
54,黑客帝国,9.1,954125人评价
55,指环王1：护戒使者,9.1,963613人评价
56,罗马假日,9.1,1051405人评价
57,教父2,9.3,642957人评价
58,狮子王,9.1,964451人评价
59,天堂电影院,9.2,743586人评价
60,饮食男女,9.2,729140人评价
61,辩护人,9.2,659851人评价
62,本杰明·巴顿奇事,9.0,1109011人评价
63,搏击俱乐部,9.0,980274人评价
64,美丽心灵,9.1,855975人评价
65,穿条纹睡衣的男孩,9.2,644216人评价
66,哈利·波特与死亡圣器(下),9.0,974755人评价
67,情书,8.9,1331546人评价
68,两杆大烟枪,9.1,680928人评价
69,窃听风暴,9.2,634354人评价
70,功夫,8.9,1342881人评价
71,音乐之声,9.1,686851人评价
72,哈利·波特与阿兹卡班的囚徒,9.0,895488人评价
73,阿凡达,8.8,1591364人评价
74,西西里的美丽传说,8.9,1097017人评价
75,看不见的客人,8.8,1446635人评价
76,拯救大兵瑞恩,9.1,727960人评价
77,沉默的羔羊,8.9,1020576人评价
78,小鞋子,9.2,469161人评价
